epoch,embedding,convs.0,convs.0.fc_full,convs.0.sigmoid,convs.0.softplus1,convs.0.bn1,convs.0.bn2,convs.0.softplus2,convs.1,convs.1.fc_full,convs.1.sigmoid,convs.1.softplus1,convs.1.bn1,convs.1.bn2,convs.1.softplus2,convs.2,convs.2.fc_full,convs.2.sigmoid,convs.2.softplus1,convs.2.bn1,convs.2.bn2,convs.2.softplus2,convs.3,convs.3.fc_full,convs.3.sigmoid,convs.3.softplus1,convs.3.bn1,convs.3.bn2,convs.3.softplus2,conv_to_fc,conv_to_fc_softplus
0,1.3330451250076294,1.365743637084961,2.649285316467285,1.3466640710830688,1.3681182861328125,2.6347780227661133,1.3165638446807861,1.373215913772583,1.3506933450698853,2.6441752910614014,1.3242971897125244,1.3571860790252686,2.6403534412384033,1.3218848705291748,1.4000881910324097,1.506109595298767,2.71718692779541,1.3607113361358643,1.2627546787261963,2.6272385120391846,1.3221021890640259,1.4129585027694702,1.4888848066329956,2.9160845279693604,1.3371952772140503,1.3257642984390259,2.6396734714508057,1.3181737661361694,1.5314180850982666,0.7905507683753967,0.6567497253417969
1,1.2393416770203087,0.9947059712661621,2.387892124313268,1.056490320754618,0.9761940545933703,2.471119549215286,1.2595830571386657,1.0065042225746166,0.8598693185777653,1.7444519231367568,1.0372614200973522,0.9573087014449235,2.4802086228132074,1.2607006018701503,0.8790542637424799,0.8738509982117555,1.365803981286001,1.0695255826135872,0.8837188470921113,2.4250929720456376,1.230732581708697,0.8320380078055161,0.9212575420759218,1.2528837086571134,1.050526143241209,0.9361292868219879,2.36566088350026,1.2078532820737025,0.8490468908173741,0.6662261819923154,0.6274411760871265
2,1.1517722790049347,0.7091246264844077,2.1564652094559897,0.8185957074495169,0.6766258206238706,2.3263105620475706,1.205988360191139,0.7211641006653978,0.5353881333395651,1.1123611153412736,0.8025543297025592,0.6575948576707482,2.3402588954536574,1.2032211710934237,0.5446066263688825,0.6173085418228522,0.6251112789538107,0.8307821845505874,0.6052272400801034,2.2650191563218676,1.149266375397965,0.5893730886582719,0.7238837022777576,0.4850329511808333,0.8155826065158871,0.6439205310106072,2.198434664525167,1.108682076791169,0.6509192427675603,0.6839828154307216,0.5996484182290469
3,1.0695939712846065,0.4953844147675171,1.9494860492915203,0.6266267511709243,0.45794841377313433,2.20249531826741,1.155825032339132,0.5061243621647583,0.3337309498254402,0.7043252908427508,0.6134988348931321,0.44175215621552927,2.226007644737555,1.15076086254339,0.3369697311437379,0.46626225599203036,0.29569083286073367,0.636874872964955,0.4057346972214045,2.158705284708874,1.0811595011549284,0.4554728157712758,0.5899278167422521,0.216423110927866,0.6255268231428601,0.43323674975852555,2.1251078073778054,1.0269855646643353,0.5843716696328144,0.7806534610640562,0.5728572191096063
4,0.9927412376241971,0.34364536629410186,1.761297368071269,0.4769622289742183,0.30791505971630806,2.0965972954994445,1.1090954584223893,0.35192687154627755,0.23238298994895465,0.4535056451946721,0.4670921956471744,0.29591557633648435,2.1348499887546826,1.1030505206263683,0.2309698404011637,0.3628402937089959,0.1543221264787239,0.48526324764415224,0.2713013776832779,2.0920397687404257,1.0243536220907044,0.36643715898070706,0.45791241209151234,0.12101394337250704,0.4769011779317782,0.2904856490239105,2.096360381821849,0.9605078012460074,0.5034169316540821,0.8977512813747835,0.5470791346028617
5,0.9204063149314634,0.2410334360291997,1.5854579677545566,0.36348763548099167,0.21079093882995015,2.0058839339745744,1.0655564515246723,0.24675770260061552,0.19492726381102887,0.2987782889590335,0.3566200245716462,0.20251776003664548,2.0642860710810176,1.0596872140562796,0.18939141731400247,0.30366798762382485,0.08894731218473079,0.3705049803991571,0.18566033182435973,2.050966675691401,0.9767486580274936,0.3076050753721461,0.35882359491525595,0.0867557047701871,0.3639817571044234,0.19900886048275415,2.0823540671953014,0.9062560643441969,0.39439168477610087,0.987050684460316,0.522284720181195
6,0.8526134506303585,0.17340841325257553,1.4231906042037843,0.2790909753745247,0.14966850443053187,1.929362061635367,1.025452744805095,0.17709169044588033,0.19288207490832232,0.20190820977934146,0.2745564826370947,0.14404313698621812,2.0105435968527483,1.0208071932315699,0.1831902201093226,0.28008980050535437,0.05576906296753318,0.2853275107084371,0.13239292727553278,2.022866068742438,0.9372522639138187,0.2742689571666631,0.31930684729545644,0.08136091512266204,0.27985272987132115,0.14181247188365473,2.06941870331242,0.8622718809218236,0.31162903105848994,0.9962434872673994,0.49851087069445643
7,0.7897184251957508,0.1289333414425774,1.2772173199967394,0.21691789490961724,0.11114109405952703,1.865424365286489,0.9890514302115617,0.13117803105634926,0.20941506252829828,0.14003614633285238,0.2140209095716943,0.10725038668021704,1.9692788827035006,0.9864277454670796,0.1977096431991793,0.252650640558691,0.03752216777369249,0.2225838088007508,0.09907104554348725,2.0016261437679086,0.9047169153517942,0.24815222374974713,0.30809398722425774,0.0973548123089621,0.2177638001290798,0.10589035528302372,2.0560153392264353,0.8267152869132155,0.28879383275113324,0.9211343766455173,0.475814538913599
8,0.7318006371529956,0.09930024249129737,1.1486162832624056,0.1711651868739451,0.0864281836658279,1.8118625888339797,0.9562536871006266,0.10057943529156918,0.20744697712876198,0.09959041669813264,0.1693622237378054,0.08366569805641072,1.9373205411678138,0.956139506312171,0.2102023158949453,0.21964298011939307,0.026851635326810692,0.17631481199174648,0.07781689650586708,1.984150589617915,0.8777425422666698,0.2200686264231942,0.26719991296226914,0.1357900703110832,0.17198218505607513,0.08290927311962286,2.0417338727543224,0.7977270676640552,0.2940500961712129,0.7990327001898967,0.454191732149988
9,0.6784832074799259,0.07916967938338558,1.0359615280510899,0.13732685002223416,0.07025436714936434,1.7659152171916939,0.9266398973458108,0.07980515042721631,0.17921055954367432,0.07249952894321522,0.13624455264464388,0.06824534524822645,1.9118806979961074,0.9292180350018197,0.19560360518678657,0.2044031603447251,0.02035589368524198,0.14197172065019062,0.06399315482305101,1.9674849977496958,0.8548483066425231,0.20413792582305693,0.2293205705770127,0.19980915806283456,0.13805095394797923,0.0679259502847812,2.0261456213677778,0.7736104308990036,0.26568101358069546,0.662535644496466,0.43358064032932514
